id,account_number,type,currency,balance,status,opened_date
cbfb252f-4d1e-408b-9273-211bcd8d65ec,GNIG25426048653454,brokerage,EUR,104879.05,frozen,2024-09-26
7d9027aa-5556-45a1-ac70-63c5d4cb5c27,ABEA58194492945548,savings,EUR,436579.22,frozen,2022-12-02
e9f60282-65d2-4375-b82a-7092d5b025bb,YCAC60685805713352,checking,EUR,396231.17,frozen,2024-10-12
c36fbb93-e877-41bb-8dc1-798afc972ffd,FVMA64593889909991,checking,EUR,74564.4,closed,2023-05-31
58c4b6fd-aee1-4365-9dc0-e546aca09914,UBKI62344346147819,savings,EUR,183309.37,active,2024-04-06
a7983e83-8ce0-482e-891d-eebd9fb693e6,DUAP98200245920428,savings,GBP,366237.41,active,2021-08-21
1e3f9ed7-5b87-4817-b229-a2a653b37bf8,WFQR83869963846025,checking,USD,268781.53,active,2024-11-18
d0fd63e0-37fc-4605-a81c-05ecafc936bc,FOVX07377811583703,savings,USD,169482.44,active,2022-05-01
c2c99640-4094-45f3-94ce-019818a44d52,STFU23982228673931,savings,GBP,61470.98,frozen,2024-12-12
ca7a5abb-fe51-46ca-9128-15a32e9cf901,AHOP22686437105874,brokerage,USD,219250.27,active,2021-07-09
1b95b914-47d7-450e-a24f-0094e2387c84,UQZT57087463838868,savings,EUR,118236.36,closed,2023-06-25
5ea411e2-daea-4857-85d3-c12a419dede8,QRVP63671994764951,savings,EUR,437657.28,active,2022-08-27
eb4698d1-ed0c-415e-a8bb-c92f76afd807,GZVG79466721968889,checking,USD,442962.62,closed,2025-08-20
28dc6a85-c876-445c-8c7e-5a37fbf3137d,HZYD00059552114291,savings,USD,399691.19,active,2021-07-20
f5597ea4-06cc-49f6-8a2b-d5e699984644,GNWL97101146114183,checking,USD,170906.74,closed,2024-11-22
0ebf983c-3082-477b-891f-c43f1608f500,EPUE15274447313641,savings,USD,31991.34,active,2021-06-29
557504fa-be45-495b-bcf9-e17d6f7c7b11,CPJS44227840011095,checking,USD,488959.35,active,2023-06-11
bb0028ed-dff5-477b-abd6-0e4b32fef634,IYDM79621764150639,savings,GBP,161244.05,active,2023-05-04
91efb1d8-a950-4c80-9a6b-449ccc6000de,TDDF43836746181106,savings,USD,337625.37,active,2025-09-08
ff100c0d-f0ef-402a-af72-b01c604513a4,JVRU25593379949538,savings,GBP,479997.01,active,2024-02-10
1e76ea76-4ccd-43f8-93cd-f30259e5f404,ZEBR05332590132722,brokerage,USD,69194.27,active,2024-06-11
c9bed46a-b606-403b-be83-c530d7e098c5,CMBC31786612659269,checking,USD,441124.32,active,2024-09-20
53c40d8a-0b4a-4c7a-bf74-0090e8b4696d,QILC65223606183569,checking,EUR,374124.4,frozen,2025-08-13
20bce783-fcc1-4522-b80d-57d8f603daec,YAZC35874660910506,savings,EUR,345364.85,frozen,2024-06-27
971ae88a-d36a-404b-9106-e498c8e02e88,XEJX09368348086709,checking,GBP,32968.52,frozen,2022-01-03
fd254d1c-b6b6-40b8-886e-dbdd870cf60a,DZOL85235600411945,brokerage,USD,453877.7,active,2024-01-11
0a7a79f4-49da-44f5-896b-b65773426713,TXXR37319317269550,checking,EUR,92288.04,closed,2025-03-10
87db7771-27f6-4f08-82e1-4bb4fbba795a,XCOD12507592468460,savings,USD,375590.91,closed,2021-12-09
48912c96-60cb-49a5-bcf8-763d51f90c7f,RXOQ45595817882469,savings,USD,87060.67,active,2022-10-19
5ad62ae7-5c68-4fba-8f4a-c6e6493bb6b5,NWHU67589885093049,savings,USD,167067.27,active,2025-08-13
b8ef58ed-7c82-40f9-9f47-b842ecd18902,BYBD53615455966958,brokerage,USD,325079.29,frozen,2021-06-16
0dc65ce8-e141-4bf5-83b6-d058cc686ec6,EKUG74987543173509,brokerage,GBP,95340.13,frozen,2022-10-16
586a5cd0-ffa9-4c66-917b-3aed4c01b8dd,KHQA56174816549503,brokerage,USD,340964.36,closed,2023-04-14
ca4222d9-6c3c-43ff-b8d1-8b30aa4a3174,KRFE56603283707167,savings,USD,431823.46,frozen,2024-10-17
2c2076a9-34c4-4f29-afaf-0f808aaa79d9,FFVJ35579733134508,checking,USD,122511.59,active,2024-01-14
02983576-b88c-435e-9ad8-fc53152fc240,SRIB09337238117423,brokerage,GBP,4942.54,frozen,2023-06-10
7f94ddf7-f100-4845-b34f-e0031f954c4e,BIHI89090125961677,brokerage,USD,222953.6,active,2025-01-15
7add1904-93b1-457e-bb2e-ced96acaed21,JWST50106386021334,savings,USD,387781.64,closed,2023-02-11
e90a5b63-9d9b-498b-82c6-4e3af5273ecb,IESS56515940217598,brokerage,GBP,103615.83,active,2021-06-26
c0444262-d550-4c33-90a9-a417e018cea1,VNNR68085740227274,savings,GBP,267574.6,active,2026-01-10
cdfddb0e-10ca-4d86-8e38-073933cee324,HOHA39345792127698,brokerage,USD,83623.74,active,2023-04-24
3efa7cb8-ed89-4670-a29f-836dc04e1ec0,UDJQ67779837111027,savings,USD,340244.4,active,2021-09-30
9867360c-d141-46db-b9e3-469412bfd1b1,UOGG75938382985296,checking,USD,411211.16,closed,2024-08-04
