id,name,email,phone,date_of_birth,nationality,type,kyc_status,risk_level,tax_id,registration_number,created_date
87271cc9-ba33-47b1-afc7-a3c2e87a5af5,Angela Watson,haydencrystal@example.org,001-494-720-4050x7837,2004-04-14,IN,individual,verified,medium,PM83339018,,2024-07-14
3e331add-c718-49a5-a312-047bef7c4cca,Mary George,ncook@example.net,633.501.1931x46922,1989-01-05,BR,individual,verified,low,Xv05667905,,2023-07-14
53cb7176-8e69-4d64-ae9f-a3158ad37e24,Julia Hebert,jasmine30@example.net,250-570-7505x076,1983-02-24,UK,individual,rejected,high,ND70621825,,2023-03-09
522ec381-cf64-4be0-8818-d9f3761bb3f6,"Rowe, Monroe and Taylor",kennedyjessica@example.net,700-727-4676x11671,,DE,corporate,verified,low,Hg06542537,REG-537773,2021-09-16
493b91f9-6e11-4f3d-ad7b-cf6b9c5f51e8,Eric Young,khamilton@example.net,+1-500-283-6507x963,1947-09-20,BR,individual,rejected,medium,tb95128391,,2026-02-02
ed0cbd37-e7e7-4f60-9243-01699a4b08be,John Jackson,emarquez@example.net,813.619.9208x32267,1957-10-28,UK,individual,verified,high,Wm87261708,,2024-07-31
bba80b09-5beb-41bb-abbe-ce33f82d366b,Robert Garcia,noblejacob@example.org,+1-744-325-8653x819,1986-03-16,BR,individual,rejected,medium,OB87477651,,2021-03-18
27b04fb8-b291-4b8b-966b-2e5f68b56dd7,Pamela Hawkins,moralesdeborah@example.org,+1-554-370-7727x951,1996-07-08,FR,individual,verified,low,jf14332131,,2023-05-29
d599cde1-97fd-4879-96ae-88e1a5344018,Hernandez-Davis,annaarmstrong@example.org,(337)646-5242x383,,UK,corporate,verified,low,ka49819812,REG-798306,2022-08-18
29ca3e45-e0ab-4f04-9055-4f3ce569bd16,Debbie Hughes,josehicks@example.com,730.304.8453x9223,1963-07-17,DE,individual,verified,low,Zd31711300,,2024-11-17
166597b2-a773-4822-b168-a856c596f0a0,Colleen Murray,sherritaylor@example.com,(440)413-0458x513,1975-08-27,BR,individual,verified,low,TM52247789,,2021-05-10
414a48c2-19db-4c09-b13a-b0eb0999e363,Jessica Livingston,ysolis@example.com,389-416-4966x9523,1942-02-05,BR,individual,verified,high,wD65152567,,2025-02-04
ed6497d4-45c4-47e8-9bae-b1e4501fa0d2,Mata-Armstrong,scottkimberly@example.com,001-347-777-8256x3073,,US,corporate,rejected,low,366-93-2735,REG-622809,2025-12-09
b0eb223b-65a9-486f-be83-3cf90538b701,Brandon Brown,lamadam@example.com,001-507-219-3403x0353,1980-01-18,US,individual,verified,medium,519-38-0944,,2024-01-30
0b3fd5ea-ed26-416a-a6b7-95e0e6b9473a,Mark Medina,quinnjustin@example.com,(233)789-5060,1979-12-17,CA,individual,rejected,low,Kl02263767,,2022-11-01
0a5e2cf5-9cfb-4295-98ab-858ee08c0b0c,Lori Allen,jasonballard@example.org,205-657-2196x78634,1985-10-30,US,individual,verified,low,294-17-9590,,2024-05-21
8ce97ecd-a020-4ecd-86bf-d917b6b83649,Vincent Adams,nicholasray@example.net,(953)554-7042x1552,1990-02-08,US,individual,pending,low,505-40-0987,,2021-04-04
88d51707-6db2-42ab-b4e4-49107e52fe7a,Mark White,scottproctor@example.com,(216)592-5332x0670,1957-04-25,US,individual,verified,medium,362-43-2108,,2021-08-09
cca395ef-360a-4457-af71-05b59e5a951a,Regina Perez,klewis@example.org,(690)646-7497x48449,1956-10-27,UK,individual,pending,low,Np15790707,,2023-04-07
ab792b39-a47e-4af1-8805-b5aadc1cbc52,Bruce Vang,baileyjose@example.net,(444)727-0454,1978-07-08,IN,individual,verified,medium,Ff66845348,,2023-04-10
de34a16b-cb75-4155-b53b-6be06e9bc096,Catherine Mccoy,sarah09@example.org,(251)852-4157x145,1974-10-08,US,individual,verified,low,548-01-1360,,2023-07-12
faf4621e-b744-422f-a2e9-484e3588b8b7,Angela Weiss,angela46@example.org,682.582.0207,1996-12-08,FR,individual,verified,high,sx68409257,,2023-07-14
09436776-79cf-44ab-b899-33280a5906fc,Brandy Castro,foxnicole@example.net,687.577.4108x56448,1944-03-08,US,individual,verified,low,035-16-7511,,2022-10-12
488593fd-7fa6-4862-91c5-69cbe435e422,Hannah Hernandez,dwayneatkinson@example.org,223-355-8653x157,2003-09-14,BR,individual,rejected,low,lu53490357,,2024-07-15
09e15428-593c-46cd-afc4-faacea1e1594,Kevin Joseph,ellen78@example.net,(432)221-9466x036,2003-10-19,US,individual,verified,medium,049-49-4071,,2025-02-12
e28919a4-1d24-4863-9473-92038b0fc712,James Palmer,ogomez@example.org,(565)692-4119,1999-01-13,DE,individual,verified,medium,WQ04920096,,2023-02-28
30c3d71b-6f06-47c6-93ba-b762de7a008c,Elizabeth Bennett,tannerjohnson@example.com,928.275.7121,1989-06-26,DE,individual,pending,low,Ri04178551,,2024-05-03
a0b4bd24-ff0b-477d-ac01-8c5d749b5b3d,Shannon Cline,mccarthypatricia@example.org,370.547.4908,1992-06-22,US,individual,pending,high,583-45-2131,,2025-05-21
f3b84568-1c51-477e-a4d4-74154480ac1f,Morgan Mcguire,paulperez@example.net,845.975.8780x82043,1969-01-23,US,individual,verified,medium,742-04-5998,,2022-03-10
af50e4fb-5dc7-4ab5-b4f5-63b03f6ab075,Jenkins-Daugherty,robertsnancy@example.org,001-558-360-7497x720,,DE,corporate,rejected,medium,tO23834044,REG-286921,2024-08-15
